id,para1,para2,para3,para4,para5,para6,res
1,31.290078069035687,33.02900487787345,24.687226675066185,43.97090526288756,21.779225200662587,23.17459471723329,0.2639602095861769
2,30.78867098796578,34.64931928095912,23.927786480827866,39.129534273387684,21.421834998956122,24.012680074060757,0.2269546927341591
3,33.977300194656024,28.84076765276626,24.278283175737627,35.54066456777803,23.25754214156599,28.0036391910791,0.5253638303004229
4,17.057911331302392,26.794883328135946,27.643583325124602,43.799270596556255,20.522612047310933,26.21488166685399,0.14354379802254924
5,21.540709470882756,31.744387780733078,26.778194312728637,50.08225265547049,14.436268480404717,29.17951126695215,0.15218034355522875
6,22.320969027978485,18.605191651280954,20.83569930998824,49.482395114033295,20.087166393182358,22.2937342503348,0.15169082550269314
7,28.368715524740047,17.16968465535366,27.512289820035548,48.17440892432441,14.615679379436912,25.77925725944396,0.12813739208877795
8,22.42434160405799,26.07820124345303,24.021771849110394,46.2136178581375,20.66508802382857,24.262147559616935,0.42492613216606046
9,28.85100886382016,22.48714566261284,30.842520242544154,40.09320223780638,10.715979041070028,24.43961511311811,0.2386329734035927
10,31.315377975131142,26.515704559186915,32.8035233204441,43.08386186843044,12.751826549758265,20.417547429805573,0.41309875707353105
11,16.44570400708904,24.32914746376656,24.977088649433043,45.715782470939274,21.77994319524349,20.543196059988137,0.31373341775159713
12,34.89756089503618,15.1944389233861,33.79936821991402,48.459012095815424,28.044065377226342,25.9900943025388,0.1470543823118682
13,18.055863214329023,33.90809274639919,22.000781469848235,54.76506106810431,27.01761872333406,21.903013919960852,0.3237838442294905
14,33.20520752723145,16.714502557991203,27.84516345257709,36.897708505259985,26.84800328253464,28.335881952238996,0.12696199346939765
15,30.441282489026463,25.021594215150564,32.481839998092795,31.63031386039574,25.175415095306903,20.129959280180763,0.30823930105087033
16,15.994329330712205,16.12281581188645,27.468305523089448,37.292765102302326,14.678843608872791,24.850078390230113,0.13179809757223024
17,25.26179106453576,28.672665484538104,30.62422660964457,53.29527526859964,15.228270272023611,25.968695288327616,0.5727507028810284
18,22.95411546543386,16.90140056666219,33.260757129662686,38.608317909918526,27.42988033903033,23.348581437150923,0.14810112855526564
19,23.08154004614544,18.865819839382155,23.14403828691143,51.60543690206322,10.702874410634513,24.252453523326714,0.22590303962519684
20,32.94207804627566,22.044313060105054,34.6802352650536,47.3462991659391,12.20310629841794,28.080791101841704,0.253910495880742
21,34.54416411517022,18.914774807504898,25.852893675031062,39.03196659329133,25.515871902308696,24.748625465963613,0.1469379898947251
22,19.284103897034832,22.415109477007853,32.43596159788702,37.59905076895972,12.807359507994892,24.028404178708943,0.24412727694064904
23,27.6940481096187,32.03591374834111,29.096784400307584,45.07457192109209,16.535658876631835,21.099859716950306,0.11658648214331105
24,29.350372795169115,16.931366533473835,20.282895671252643,30.005518652331446,21.302632640558592,23.56200474259647,0.14676402782104198
25,33.58760961326375,26.32579460397138,33.269206220031684,31.64403371134448,28.540445921949285,20.567567624754773,1.0
26,25.30017065135791,33.66088408476797,25.572416011046744,33.95324990435901,24.36338845100478,29.71663240035239,0.39109686538259925
27,19.912968333864093,18.690938625991063,26.442611861187803,49.30150918490108,22.856404207385246,26.691660774808284,0.20542817338262534
28,25.10234308291148,15.26726546957024,24.003114532049633,39.30009131185308,27.620399169824204,23.117924788918803,0.266377177986544
29,28.068796440312813,22.087209663169396,20.033233917944482,50.48340717890157,16.838604333417475,21.45600848717966,0.39846491311917603
30,26.784083691840816,15.712725803047984,25.46628701821105,48.29576163407148,11.256524889881446,27.33831747102108,0.12476355252333231
31,34.6969587956913,32.70021119649522,30.336160445895498,49.42033994109956,17.494970668053902,29.825438548128076,0.6596799748079063
32,31.85006915543956,19.732915767238346,32.326180953424995,50.77517508164764,18.312274980098483,26.922249341392003,0.22852418606626132
33,17.15481469728557,31.193920336874907,28.07313610406713,52.1100496513925,23.473593148023085,29.037201018322822,0.2322455148139431
34,17.596699785142963,17.64671340129768,33.09181292845759,34.76637460678716,12.4900697600223,23.210700114597163,0.2076216666340963
35,30.63814668425219,24.61072742479286,33.409619949853074,46.98975908503378,22.064841137506956,28.739826898622983,0.24935835719868513
36,27.673601970982485,28.013449419028227,27.724741969669264,48.63462347664663,19.447195793224907,27.18090801586908,0.561296817517929
37,17.1084253349107,31.093223000424587,23.439386710572606,45.85583111969224,25.301815951433344,21.90305532756096,0.32263678849232663
38,26.462703872971797,20.492161113380643,21.73734651999421,52.80095486921166,18.20239077883972,25.629379595532143,0.15934432440241267
39,16.247131987518628,22.271315906314467,29.516549007035554,42.342997890902524,19.27237297669806,28.838293644606637,0.2754398686835799
